"x: 0.5046840906143188
y: 0.502924382686615
z: -4.500392236650441e-08
","x: 0.4946058690547943
y: 0.5121330618858337
z: 0.0016847309889271855
","x: 0.483632892370224
y: 0.5237232446670532
z: 0.001599751180037856
","x: 0.4760436713695526
y: 0.5322834849357605
z: 0.0005069500766694546
","x: 0.47157707810401917
y: 0.540073812007904
z: -0.00040391148650087416
","x: 0.4831882119178772
y: 0.5372894406318665
z: 0.0027700569480657578
","x: 0.4746454656124115
y: 0.5519866943359375
z: 0.0004859143518842757
","x: 0.47247639298439026
y: 0.555107593536377
z: -0.001467377645894885
","x: 0.471956342458725
y: 0.5560100078582764
z: -0.002481515519320965
","x: 0.48534154891967773
y: 0.5395644903182983
z: 8.513647480867803e-05
","x: 0.47709569334983826
y: 0.5558058023452759
z: -0.0016342627350240946
","x: 0.47487974166870117
y: 0.5597285032272339
z: -0.003100808011367917
","x: 0.47478047013282776
y: 0.5605619549751282
z: -0.004013050813227892
","x: 0.48843881487846375
y: 0.5402859449386597
z: -0.0028743240982294083
","x: 0.4818918704986572
y: 0.556735634803772
z: -0.004136180505156517
","x: 0.48033034801483154
y: 0.5615294575691223
z: -0.004162404220551252
","x: 0.4800974130630493
y: 0.5635142922401428
z: -0.004255359061062336
","x: 0.49223580956459045
y: 0.5395626425743103
z: -0.005802553612738848
","x: 0.4905438721179962
y: 0.5543711185455322
z: -0.0063094571232795715
","x: 0.49014049768447876
y: 0.5614871382713318
z: -0.005535231437534094
","x: 0.4902997612953186
y: 0.5664799213409424
z: -0.004964482504874468
"
"x: 0.5057740807533264
y: 0.5009954571723938
z: -6.750366043917211e-09
","x: 0.5052455067634583
y: 0.5166296362876892
z: 0.0016421024920418859
","x: 0.49931082129478455
y: 0.5296831130981445
z: 0.0018648033728823066
","x: 0.4931832551956177
y: 0.5359957218170166
z: 0.001140295760706067
","x: 0.488356351852417
y: 0.5389348864555359
z: 0.0005495873629115522
","x: 0.49470171332359314
y: 0.5390567183494568
z: 0.0033984838519245386
","x: 0.4897845983505249
y: 0.5541565418243408
z: 0.0016220505349338055
","x: 0.48714780807495117
y: 0.5627593398094177
z: -0.00015670583525206894
","x: 0.4859331250190735
y: 0.5688761472702026
z: -0.0011359485797584057
","x: 0.48858338594436646
y: 0.5366448163986206
z: 0.0010391267715021968
","x: 0.4811808466911316
y: 0.5505654811859131
z: 0.0004334952391218394
","x: 0.47645488381385803
y: 0.5568857192993164
z: -0.00046449893852695823
","x: 0.4729674756526947
y: 0.5611106753349304
z: -0.0011453083716332912
","x: 0.4832172393798828
y: 0.5320934057235718
z: -0.0016641677357256413
","x: 0.47476789355278015
y: 0.5441000461578369
z: -0.0020923346746712923
","x: 0.4702625870704651
y: 0.5488529205322266
z: -0.0019423117628321052
","x: 0.46697184443473816
y: 0.552391529083252
z: -0.0019314384553581476
","x: 0.4787948727607727
y: 0.5261278748512268
z: -0.004468543455004692
","x: 0.471078097820282
y: 0.5348432064056396
z: -0.0038054087199270725
","x: 0.4668072760105133
y: 0.5387000441551208
z: -0.0023843783419579268
","x: 0.4636262357234955
y: 0.5417642593383789
z: -0.0014420319348573685
"
"x: 0.504205584526062
y: 0.5026463270187378
z: 1.7024390785991272e-08
","x: 0.5034952163696289
y: 0.5148267149925232
z: 0.0006931167445145547
","x: 0.49723589420318604
y: 0.5265138149261475
z: 0.0006736137438565493
","x: 0.49076688289642334
y: 0.5329911708831787
z: 5.896007132832892e-05
","x: 0.48569074273109436
y: 0.5367100238800049
z: -0.0004179934039711952
","x: 0.49277636408805847
y: 0.5372136831283569
z: 0.0019858526065945625
","x: 0.48593541979789734
y: 0.5513065457344055
z: 0.000598489714320749
","x: 0.4818135201931
y: 0.5589104890823364
z: -0.0006885105976834893
","x: 0.4789350628852844
y: 0.5643722414970398
z: -0.0015621734783053398
","x: 0.4871465563774109
y: 0.5355481505393982
z: 0.000272956705885008
","x: 0.47924336791038513
y: 0.5483789443969727
z: -0.0005437927902676165
","x: 0.47430622577667236
y: 0.5540997385978699
z: -0.0014077594969421625
","x: 0.47066980600357056
y: 0.5579946041107178
z: -0.002078879391774535
","x: 0.4826151430606842
y: 0.5316131711006165
z: -0.0017184735042974353
","x: 0.4752003252506256
y: 0.5438897013664246
z: -0.002395048039034009
","x: 0.4712997078895569
y: 0.549191951751709
z: -0.002487157005816698
","x: 0.46846315264701843
y: 0.5531304478645325
z: -0.0026904097758233547
","x: 0.4790381193161011
y: 0.5263069868087769
z: -0.00381958088837564
","x: 0.47335872054100037
y: 0.5354605913162231
z: -0.0038688043132424355
","x: 0.4704313576221466
y: 0.5402947664260864
z: -0.0031521774362772703
","x: 0.4683820605278015
y: 0.5442498922348022
z: -0.0026800334453582764
"
"x: 0.505100429058075
y: 0.5055137276649475
z: 2.2812329802945897e-08
","x: 0.4942103922367096
y: 0.5066689252853394
z: 0.0015041135484352708
","x: 0.4845459461212158
y: 0.51419597864151
z: 0.0022407909855246544
","x: 0.47962817549705505
y: 0.5207242965698242
z: 0.0020524421706795692
","x: 0.47718942165374756
y: 0.5263126492500305
z: 0.0018973284168168902
","x: 0.4812535047531128
y: 0.5271194577217102
z: 0.003785372246056795
","x: 0.4738677740097046
y: 0.5371914505958557
z: 0.0028018809389322996
","x: 0.46915191411972046
y: 0.5422356128692627
z: 0.0016164121916517615
","x: 0.4657590389251709
y: 0.545872151851654
z: 0.0007164182607084513
","x: 0.4842568039894104
y: 0.5331482291221619
z: 0.0016665954608470201
","x: 0.4773138761520386
y: 0.5453750491142273
z: 0.0007995311752893031
","x: 0.4728739559650421
y: 0.5509762167930603
z: -0.0002096445969073102
","x: 0.46975699067115784
y: 0.5551755428314209
z: -0.0009290545131079853
","x: 0.4886135756969452
y: 0.5374367833137512
z: -0.0007776592974551022
","x: 0.4832339882850647
y: 0.5510099530220032
z: -0.0018375103827565908
","x: 0.4802490770816803
y: 0.5574504137039185
z: -0.00271601346321404
","x: 0.47820013761520386
y: 0.5624473690986633
z: -0.0033305531833320856
","x: 0.49368050694465637
y: 0.5401078462600708
z: -0.003206941531971097
","x: 0.49179863929748535
y: 0.5525435209274292
z: -0.004346651956439018
","x: 0.49123692512512207
y: 0.560128390789032
z: -0.004932583775371313
","x: 0.4913143515586853
y: 0.566378116607666
z: -0.005255274008959532
"
"x: 0.503923773765564
y: 0.5059486031532288
z: 1.1534616817243659e-08
","x: 0.49980849027633667
y: 0.5115296840667725
z: 0.0006810970953665674
","x: 0.4921436309814453
y: 0.5204689502716064
z: 0.0012986038345843554
","x: 0.4862799644470215
y: 0.5270431637763977
z: 0.0014385852264240384
","x: 0.4824540615081787
y: 0.5325393676757812
z: 0.001715688849799335
","x: 0.48766812682151794
y: 0.5330004692077637
z: 0.0022814825642853975
","x: 0.48045632243156433
y: 0.5451959371566772
z: 0.0015335443895310163
","x: 0.4761127531528473
y: 0.5514852404594421
z: 0.0006815444794483483
","x: 0.4727928638458252
y: 0.556148111820221
z: 5.0025832024402916e-05
","x: 0.48573681712150574
y: 0.5343143939971924
z: 0.0008400797378271818
","x: 0.47786080837249756
y: 0.5464896559715271
z: 0.0003466147754807025
","x: 0.47310182452201843
y: 0.5520036816596985
z: -0.0005037391092628241
","x: 0.46941155195236206
y: 0.5558990240097046
z: -0.0011074793292209506
","x: 0.48479241132736206
y: 0.5335773229598999
z: -0.0008272408740594983
","x: 0.4772682189941406
y: 0.5445551872253418
z: -0.0013971076114103198
","x: 0.47272053360939026
y: 0.5498390793800354
z: -0.0019086877582594752
","x: 0.46919944882392883
y: 0.5537344813346863
z: -0.002356545301154256
","x: 0.48489055037498474
y: 0.5312497019767761
z: -0.0025277910754084587
","x: 0.47969335317611694
y: 0.540712296962738
z: -0.002876991406083107
","x: 0.4767608642578125
y: 0.5464040040969849
z: -0.0025612306781113148
","x: 0.47437816858291626
y: 0.5511535406112671
z: -0.0023113167844712734
"
"x: 0.5039815306663513
y: 0.5065981149673462
z: 3.25339897244703e-08
","x: 0.4941847622394562
y: 0.5048274397850037
z: -0.00038339541060850024
","x: 0.4842730164527893
y: 0.5102834701538086
z: -0.0003014513640664518
","x: 0.47875264286994934
y: 0.5159679651260376
z: -0.0007082032389007509
","x: 0.4758152961730957
y: 0.5212079882621765
z: -0.0010718174744397402
","x: 0.4804215729236603
y: 0.5257477760314941
z: 0.0015209423145279288
","x: 0.47280773520469666
y: 0.5350334644317627
z: 0.00028045076760463417
","x: 0.4680650532245636
y: 0.5398163199424744
z: -0.0010363608598709106
","x: 0.46448463201522827
y: 0.5431980490684509
z: -0.002098675351589918
","x: 0.48376575112342834
y: 0.532660961151123
z: 0.000228741075261496
","x: 0.4767974019050598
y: 0.544314980506897
z: -0.0008753265719860792
","x: 0.47242793440818787
y: 0.5500320196151733
z: -0.0022056817542761564
","x: 0.46904638409614563
y: 0.5544847846031189
z: -0.0031945244409143925
","x: 0.48850157856941223
y: 0.5374147891998291
z: -0.0014404668472707272
","x: 0.4830106198787689
y: 0.5504890084266663
z: -0.0029715874698013067
","x: 0.4799294173717499
y: 0.5574126839637756
z: -0.004504153970628977
","x: 0.47739237546920776
y: 0.563019335269928
z: -0.00560768274590373
","x: 0.494087278842926
y: 0.5401750206947327
z: -0.003171587362885475
","x: 0.4927196204662323
y: 0.5524179339408875
z: -0.005168285220861435
","x: 0.49253830313682556
y: 0.5600645542144775
z: -0.006427601911127567
","x: 0.4925331771373749
y: 0.5665466785430908
z: -0.007161968853324652
"
"x: 0.5029674172401428
y: 0.5061947703361511
z: 9.29902199686694e-09
","x: 0.5029942989349365
y: 0.5147475004196167
z: -0.0004365846689324826
","x: 0.49755531549453735
y: 0.5247719883918762
z: -0.00034836900886148214
","x: 0.4914783835411072
y: 0.5312668085098267
z: -0.0005409513250924647
","x: 0.4872676730155945
y: 0.5359581112861633
z: -0.0005355053581297398
","x: 0.4922066330909729
y: 0.5372481346130371
z: 0.001164098153822124
","x: 0.4863680899143219
y: 0.5506789684295654
z: -6.532215775223449e-05
","x: 0.48252418637275696
y: 0.5580390691757202
z: -0.0011906563304364681
","x: 0.4795544445514679
y: 0.5633220672607422
z: -0.0019345214823260903
","x: 0.4867505133152008
y: 0.5356673002243042
z: 0.00014526340237352997
","x: 0.4792948067188263
y: 0.5475733280181885
z: -0.0006426392355933785
","x: 0.47454872727394104
y: 0.5530951023101807
z: -0.0015172932762652636
","x: 0.4706202447414398
y: 0.5569758415222168
z: -0.002102102153003216
","x: 0.4824255704879761
y: 0.5316636562347412
z: -0.0011901459656655788
","x: 0.4744458496570587
y: 0.5412552356719971
z: -0.002040734514594078
","x: 0.4700177311897278
y: 0.5455628037452698
z: -0.0023868503049016
","x: 0.4662925899028778
y: 0.5488711595535278
z: -0.0026392738800495863
","x: 0.47923827171325684
y: 0.5260798931121826
z: -0.0026763121131807566
","x: 0.4724154472351074
y: 0.5327284336090088
z: -0.0029564788565039635
","x: 0.46849939227104187
y: 0.5364207625389099
z: -0.002322377171367407
","x: 0.4652075171470642
y: 0.5394954085350037
z: -0.0017892603063955903
"
"x: 0.5047844648361206
y: 0.5082943439483643
z: 2.666542897600266e-08
","x: 0.49611514806747437
y: 0.505818784236908
z: -0.001745235058479011
","x: 0.48688095808029175
y: 0.5107102394104004
z: -0.002273119520395994
","x: 0.48152032494544983
y: 0.5161687731742859
z: -0.003022873541340232
","x: 0.47845321893692017
y: 0.5210565328598022
z: -0.003639740403741598
","x: 0.4823020100593567
y: 0.5277403593063354
z: 0.0005969430203549564
","x: 0.4752635955810547
y: 0.5373421907424927
z: -0.0008998045232146978
","x: 0.47106415033340454
y: 0.5431079864501953
z: -0.002375588519498706
","x: 0.46802735328674316
y: 0.5475395917892456
z: -0.0035860296338796616
","x: 0.48461100459098816
y: 0.533547043800354
z: -0.0001769644150044769
","x: 0.4777282774448395
y: 0.5438377261161804
z: -0.0017610833747312427
","x: 0.47336697578430176
y: 0.5489292144775391
z: -0.003237184602767229
","x: 0.46994316577911377
y: 0.5530663132667542
z: -0.004240573383867741
","x: 0.48813316226005554
y: 0.537229597568512
z: -0.0014493814669549465
","x: 0.48229920864105225
y: 0.5482861995697021
z: -0.003231631126254797
","x: 0.4786854386329651
y: 0.5539581179618835
z: -0.004363308195024729
","x: 0.4756166636943817
y: 0.5590201020240784
z: -0.0050957887433469296
","x: 0.49260565638542175
y: 0.5391978025436401
z: -0.002969105262309313
","x: 0.4896770119667053
y: 0.5496910214424133
z: -0.004837938584387302
","x: 0.488290011882782
y: 0.5561699271202087
z: -0.005658919457346201
","x: 0.48728498816490173
y: 0.5618864297866821
z: -0.006085581611841917
"
"x: 0.5021888017654419
y: 0.5066187381744385
z: 1.1863004800716226e-08
","x: 0.5022789239883423
y: 0.5141834020614624
z: -0.0016530633438378572
","x: 0.49731209874153137
y: 0.5235840678215027
z: -0.0021181951742619276
","x: 0.49121546745300293
y: 0.5296053290367126
z: -0.00261094281449914
","x: 0.4870823919773102
y: 0.5342071056365967
z: -0.0028830282390117645
","x: 0.49181172251701355
y: 0.5374374985694885
z: -0.00017984566511586308
","x: 0.4870452582836151
y: 0.551142692565918
z: -0.001960624707862735
","x: 0.48404833674430847
y: 0.5589227676391602
z: -0.003546509426087141
","x: 0.4819263517856598
y: 0.5648125410079956
z: -0.004575108643621206
","x: 0.48611050844192505
y: 0.5357076525688171
z: -0.0007411684491671622
","x: 0.4791775643825531
y: 0.547717273235321
z: -0.001888385391794145
","x: 0.47469964623451233
y: 0.5534011125564575
z: -0.003099939087405801
","x: 0.4710976481437683
y: 0.5576518177986145
z: -0.003966980613768101
","x: 0.4817652702331543
y: 0.5315278172492981
z: -0.0017144535668194294
","x: 0.4739251732826233
y: 0.5411477088928223
z: -0.0029652544762939215
","x: 0.4695441722869873
y: 0.5453628897666931
z: -0.0037134953308850527
","x: 0.4660499095916748
y: 0.5488663911819458
z: -0.004223928786814213
","x: 0.47862574458122253
y: 0.5257028341293335
z: -0.0029092903714627028
","x: 0.47153544425964355
y: 0.5322744250297546
z: -0.0036434049252420664
","x: 0.46728426218032837
y: 0.536003053188324
z: -0.0033796830102801323
","x: 0.4638363718986511
y: 0.5392117500305176
z: -0.003081174101680517
"
"x: 0.5029717087745667
y: 0.5064231753349304
z: 2.2547851585841272e-08
","x: 0.500704288482666
y: 0.5101999640464783
z: -0.002095764270052314
","x: 0.494668185710907
y: 0.5180323123931885
z: -0.0028649908490478992
","x: 0.4887317717075348
y: 0.5237818360328674
z: -0.0037417819257825613
","x: 0.4845961928367615
y: 0.5283542275428772
z: -0.004393765237182379
","x: 0.49067848920822144
y: 0.5352700352668762
z: 8.605456241639331e-05
","x: 0.4857942759990692
y: 0.5483152866363525
z: -0.001829255372285843
","x: 0.4829237759113312
y: 0.5562503933906555
z: -0.003654010593891144
","x: 0.4809812903404236
y: 0.5625390410423279
z: -0.004974225535988808
","x: 0.4862506687641144
y: 0.5354255437850952
z: -0.000501435250043869
","x: 0.4792766869068146
y: 0.5464608073234558
z: -0.0020500633399933577
","x: 0.4747140109539032
y: 0.5514585971832275
z: -0.003570533124729991
","x: 0.47112205624580383
y: 0.5551384091377258
z: -0.0046231490559875965
","x: 0.4830048680305481
y: 0.5329209566116333
z: -0.0015817030798643827
","x: 0.4752678871154785
y: 0.5422245860099792
z: -0.003120744600892067
","x: 0.47073861956596375
y: 0.5460586547851562
z: -0.0037455593701452017
","x: 0.4671294689178467
y: 0.5491400361061096
z: -0.0041413381695747375
","x: 0.48067551851272583
y: 0.5286120176315308
z: -0.0029874457977712154
","x: 0.4734814167022705
y: 0.5352115631103516
z: -0.004017062485218048
","x: 0.4692457318305969
y: 0.538590133190155
z: -0.003809263464063406
","x: 0.4658632278442383
y: 0.54129958152771
z: -0.0035308911465108395
"
